Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1005.8, -123.80,0.490, No data,No data,0.0,00:00:00
1009.2, -27.77,1.163, No data,No data,0.0,00:00:00
1010.3, -55.52,1.887, No data,No data,0.0,00:00:00
1009.2, -82.40,2.719, No data,No data,0.0,00:00:00
1009.0, -32.10,3.729, No data,No data,0.0,00:00:00
1009.0, -50.55,4.810, No data,No data,0.0,00:00:00
1009.0, -59.78,5.867, No data,No data,0.0,00:00:00
1009.7, -38.91,6.952, No data,No data,0.0,00:00:00
1010.8, -29.90,8.192, No data,No data,0.0,00:00:00
1011.9, -64.68,9.135, No data,No data,0.0,00:00:00
1013.0, -16.55,9.929, No data,No data,0.0,00:00:00
1010.6, -30.46,10.752, No data,No data,0.0,00:00:00
1009.5, -40.03,11.746, No data,No data,0.0,00:00:00
1008.2, -120.33,12.909, No data,No data,0.0,00:00:00
1006.7, -54.95,14.044, No data,No data,0.0,00:00:00
1004.1, -38.12,14.939, No data,No data,0.0,00:00:00
1001.9, -49.44,16.020, No data,No data,0.0,00:00:00
1001.4, -71.11,17.329, No data,No data,0.0,00:00:00
1002.8, -36.75,18.609, No data,No data,0.0,00:00:00
1004.2, -92.49,19.828, No data,No data,0.0,00:00:00
1007.1, -62.11,20.954, No data,No data,0.0,00:00:00
1009.3, -76.19,22.183, No data,No data,0.0,00:00:00
1011.2, -54.25,23.376, No data,No data,0.0,00:00:00
1011.5, -155.82,24.467, No data,No data,0.0,00:00:00
1013.3, -53.42,25.586, No data,No data,0.0,00:00:00
1013.5, -68.94,26.504, No data,No data,0.0,00:00:00
1013.7, -61.77,27.345, No data,No data,0.0,00:00:00
1013.0, -59.27,28.215, No data,No data,0.0,00:00:00
1010.8, -63.29,29.231, No data,No data,0.0,00:00:00
1011.3, -68.98,30.295, No data,No data,0.0,00:00:00
1011.4, -55.96,31.464, No data,No data,0.0,00:00:00
1013.1, -59.46,32.574, No data,No data,0.0,00:00:00
1013.0, -44.14,33.786, No data,No data,0.0,00:00:00
1012.9, -48.87,35.055, No data,No data,0.0,00:00:00
1013.5, -53.24,36.304, No data,No data,0.0,00:00:00
1012.9, -67.20,37.591, No data,No data,0.0,00:00:00
1013.3, -52.86,38.919, No data,No data,0.0,00:00:00
1012.7, -84.19,40.164, No data,No data,0.0,00:00:00
1012.4, -38.07,41.306, No data,No data,0.0,00:00:00
1009.9, -44.38,42.473, No data,No data,0.0,00:00:00
1008.7, -39.62,43.490, No data,No data,0.0,00:00:00
1008.4, -48.64,44.575, No data,No data,0.0,00:00:00
1007.0, -73.95,45.498, No data,No data,0.0,00:00:00
1007.0, -53.08,46.394, No data,No data,0.0,00:00:00
1006.4, -30.88,47.267, No data,No data,0.0,00:00:00
1004.9, -33.65,47.957, No data,No data,0.0,00:00:00
1002.9, -55.30,48.220, No data,No data,0.0,00:00:00
1001.8, -42.51,48.489, No data,No data,0.0,00:00:00
1003.5, -23.67,48.904, No data,No data,0.0,00:00:00
1002.8, -33.20,49.480, No data,No data,0.0,00:00:00
1003.1, -16.54,50.212, No data,No data,0.0,00:00:00
1003.4, -59.82,51.077, No data,No data,0.0,00:00:00
1003.5, -32.66,52.039, No data,No data,0.0,00:00:00
1002.9, -52.67,53.004, No data,No data,0.0,00:00:00
1003.3, -53.45,53.898, No data,No data,0.0,00:00:00
1003.5, -37.16,54.783, No data,No data,0.0,00:00:00
1002.6, -38.06,55.609, No data,No data,0.0,00:00:00
1001.6, -42.13,56.453, No data,No data,0.0,00:00:00
1000.5, -63.20,57.321, No data,No data,0.0,00:00:00
999.9, -34.59,58.103, No data,No data,0.0,00:00:00
